Date,AAPL,MSFT,TSLA,^GSPC
2019-09-03,50.0832633972168,131.1910858154297,15.000666618347168,2906.27001953125
2019-09-04,50.93299865722656,132.72445678710938,14.711999893188477,2937.780029296875
2019-09-05,51.9288215637207,135.05816650390625,15.305333137512207,2976.0
2019-09-06,51.923954010009766,134.1420135498047,15.16333293914795,2978.7099609375
2019-09-09,52.145511627197266,132.61834716796875,15.452667236328125,2978.429931640625
2019-09-10,52.761505126953125,131.22967529296875,15.702667236328125,2979.389892578125
2019-09-11,54.43907165527344,131.26821899414062,16.47333335876465,3000.929931640625
2019-09-12,54.31732940673828,132.61834716796875,16.391332626342773,3009.570068359375
2019-09-13,53.26064682006836,132.4254913330078,16.34666633605957,3007.389892578125
2019-09-16,53.5406379699707,131.47076416015625,16.187332153320312,2997.9599609375
2019-09-17,53.73542404174805,132.49298095703125,16.319332122802734,3005.699951171875
2019-09-18,54.23942565917969,133.58267211914062,16.232667922973633,3006.72998046875
2019-09-19,53.798736572265625,136.0417938232422,16.440000534057617,3006.7900390625
2019-09-20,53.012298583984375,134.4698944091797,16.041332244873047,2992.070068359375
2019-09-23,53.25333786010742,134.1805877685547,16.082000732421875,2991.780029296875
2019-09-24,53.00012969970703,132.48330688476562,14.880666732788086,2966.60009765625
2019-09-25,53.81576156616211,134.39276123046875,15.24666690826416,2984.8701171875
2019-09-26,53.5381965637207,134.56631469726562,16.17066764831543,2977.6201171875
2019-09-27,53.27769088745117,132.82083129882812,16.142000198364258,2961.7900390625
2019-09-30,54.53159713745117,134.07449340820312,16.058000564575195,2976.739990234375
2019-10-01,54.68254852294922,132.18438720703125,16.312667846679688,2940.25
2019-10-02,53.31177520751953,129.85061645507812,16.208667755126953,2887.610107421875
2019-10-03,53.7646369934082,131.42251586914062,15.535332679748535,2910.6298828125
2019-10-04,55.27176284790039,133.19696044921875,15.428667068481445,2952.010009765625
2019-10-07,55.283939361572266,132.2325897216797,15.847999572753906,2938.7900390625
2019-10-08,54.636287689208984,130.83428955078125,16.003332138061523,2893.06005859375
2019-10-09,55.276641845703125,133.31268310546875,16.302000045776367,2919.39990234375
2019-10-10,56.021671295166016,134.1420135498047,16.31599998474121,2938.1298828125
2019-10-11,57.511756896972656,134.7013397216797,16.525999069213867,2970.27001953125
2019-10-14,57.42896270751953,134.5760040283203,17.130666732788086,2966.14990234375
2019-10-15,57.295066833496094,136.52398681640625,17.19266700744629,2995.679931640625
2019-10-16,57.06376266479492,135.40528869628906,17.316667556762695,2989.68994140625
2019-10-17,57.28532409667969,134.71099853515625,17.46466636657715,2997.949951171875
2019-10-18,57.56045913696289,132.51226806640625,17.1299991607666,2986.199951171875
2019-10-21,58.55870819091797,133.4958953857422,16.899999618530273,3006.719970703125
2019-10-22,58.4247932434082,131.50933837890625,17.038667678833008,2995.989990234375
2019-10-23,59.20878982543945,132.34835815429688,16.978666305541992,3004.52001953125
2019-10-24,59.30618667602539,134.95208740234375,19.978666305541992,3010.2900390625
2019-10-25,60.0366096496582,135.7139434814453,21.875333786010742,3022.550048828125
2019-10-28,60.638004302978516,139.0505828857422,21.847333908081055,3039.419921875
2019-10-29,59.235572814941406,137.7390594482422,21.08133316040039,3036.889892578125
2019-10-30,59.228271484375,139.45562744140625,21.000667572021484,3046.77001953125
2019-10-31,60.5673942565918,138.2598114013672,20.994667053222656,3037.56005859375
2019-11-01,62.28635025024414,138.5973358154297,20.887332916259766,3066.909912109375
2019-11-04,62.69538879394531,139.3977813720703,21.1646671295166,3078.27001953125
2019-11-05,62.60529327392578,139.3109588623047,21.148000717163086,3074.6201171875
2019-11-06,62.632083892822266,138.92523193359375,21.77199935913086,3076.780029296875
2019-11-07,63.35492706298828,139.11810302734375,22.369333267211914,3085.179931640625
2019-11-08,63.52832794189453,140.7575225830078,22.47599983215332,3093.080078125
2019-11-11,64.03141021728516,140.9021453857422,23.006000518798828,3087.010009765625
2019-11-12,63.9727783203125,141.8279266357422,23.32866668701172,3091.840087890625
2019-11-13,64.58573913574219,142.0593719482422,23.073999404907227,3094.0400390625
2019-11-14,64.13883972167969,142.7826385498047,23.290000915527344,3096.6298828125
2019-11-15,64.90077209472656,144.6245574951172,23.47800064086914,3120.4599609375
2019-11-18,65.22802734375,144.9813995361328,23.332666397094727,3122.030029296875
2019-11-19,65.03021240234375,145.0296173095703,23.968000411987305,3120.179931640625
2019-11-20,64.27316284179688,144.77798461914062,23.481332778930664,3108.4599609375
2019-11-21,63.984989166259766,144.642578125,23.655332565307617,3103.5400390625
2019-11-22,63.928829193115234,144.7490234375,22.202667236328125,3110.2900390625
2019-11-25,65.04974365234375,146.33592224121094,22.422666549682617,3133.639892578125
2019-11-26,64.54178619384766,147.11004638671875,21.92799949645996,3140.52001953125
2019-11-27,65.40872192382812,147.39065551757812,22.086000442504883,3153.6298828125
2019-11-29,65.2646484375,146.4810791015625,21.996000289916992,3140.97998046875
2019-12-02,64.51004791259766,144.71026611328125,22.32466697692871,3113.8701171875
2019-12-03,63.35982894897461,144.47805786132812,22.413333892822266,3093.199951171875
2019-12-04,63.919063568115234,145.0006103515625,22.20199966430664,3112.760009765625
2019-12-05,64.85681915283203,145.07797241210938,22.024667739868164,3117.429931640625
2019-12-06,66.1095962524414,146.83912658691406,22.392667770385742,3145.909912109375
2019-12-09,65.1840591430664,146.46173095703125,22.635332107543945,3135.9599609375
2019-12-10,65.56502532958984,146.23916625976562,23.256000518798828,3132.52001953125
2019-12-11,66.12425994873047,146.7906951904297,23.51333236694336,3141.6298828125
2019-12-12,66.29275512695312,148.28086853027344,23.978666305541992,3168.570068359375
2019-12-13,67.19389343261719,149.5290985107422,23.892667770385742,3168.800048828125
2019-12-16,68.34410858154297,150.49676513671875,25.433332443237305,3191.449951171875
2019-12-17,68.4784164428711,149.68394470214844,25.266000747680664,3192.52001953125
2019-12-18,68.31480407714844,149.37429809570312,26.209999084472656,3191.139892578125
2019-12-19,68.38318634033203,150.6709442138672,26.93600082397461,3205.3701171875
2019-12-20,68.24153900146484,152.31593322753906,27.03933334350586,3221.219970703125
2019-12-23,69.3551254272461,152.31593322753906,27.947999954223633,3224.010009765625
2019-12-24,69.42106628417969,152.28689575195312,28.350000381469727,3223.3798828125
2019-12-26,70.79839324951172,153.53515625,28.729333877563477,3239.909912109375
2019-12-27,70.77153778076172,153.81578063964844,28.691999435424805,3240.02001953125
2019-12-30,71.19155883789062,152.49009704589844,27.64666748046875,3221.2900390625
2019-12-31,71.71173095703125,152.59654235839844,27.8886661529541,3230.780029296875
2020-01-02,73.34793090820312,155.42205810546875,28.68400001525879,3257.85009765625
2020-01-03,72.63485717773438,153.48675537109375,29.534000396728516,3234.85009765625
2020-01-06,73.213623046875,153.8834991455078,30.1026668548584,3246.280029296875
2020-01-07,72.86929321289062,152.48043823242188,31.270666122436523,3237.179931640625
2020-01-08,74.04148864746094,154.90921020507812,32.80933380126953,3253.050048828125
2020-01-09,75.61419677734375,156.84446716308594,32.089332580566406,3274.699951171875
